PROBEID	CHRO	BASEPOS	VALUE
ID_61_521	1	39996539	-0.1369
ID_62_660	1	40195697	-0.0570
ID_63_5287	1	40397460	-0.0821
ID_64_5362	1	40529496	-0.1079
ID_65_4199	1	41932500	-0.0328
ID_66_2028	1	43240297	0.0137
ID_67_2941	1	43571947	0.0080
ID_68_1187	1	43585175	-0.0628
ID_69_5363	1	43795600	0.0754
ID_70_5294	1	43897495	0.0485
ID_71_342	1	45156442	0.0228
ID_72_2670	1	45746566	0.0059
ID_73_2550	1	46542021	0.0107
ID_74_1149	1	46588227	-0.0260
ID_75_2085	1	47062677	0.1095
ID_76_2189	1	47474908	0.0942
ID_77_2167	1	47437236	0.2232
ID_78_77	1	47546110	0.0541
ID_79_1243	1	48276390	-0.0883
ID_80_4022	1	49465213	-0.0650
ID_81_4202	1	50411281	-0.0936
ID_82_4485	1	52511775	-0.1004
ID_83_877	1	53597322	-0.1240
ID_84_4278	1	54642396	-0.1159
ID_85_4623	1	55593677	0.0883
ID_86_457	1	55777231	-0.1901
ID_87_1426	1	56757530	-0.2140
ID_88_67	1	57343976	-0.1585
ID_89_4922	1	57501893	-0.2167
ID_90_2161	1	58887670	-0.0032
ID_91_2689	1	58987858	-0.1909
ID_92_2694	1	59001855	-0.1816
ID_93_2789	1	59007646	-0.1321
ID_94_995	1	59373149	-0.1299
ID_95_4619	1	60807947	-0.1769
ID_96_4714	1	61865001	-0.1487
ID_97_4132	1	62921769	-0.0929
ID_98_267	1	64215869	-0.0842
ID_99_841	1	64783482	-0.2188
ID_100_1574	1	65089064	-0.1094
ID_101_5863	1	65894154	-0.0444
ID_102_4979	1	66488986	-0.0203
ID_103_2870	1	67868448	-0.1964
ID_104_2815	1	68022943	-0.1458
ID_105_2779	1	68261063	-0.0271
ID_106_5017	1	69551596	-0.1357
ID_107_4703	1	70541062	-0.0712
ID_108_4030	1	71679114	-0.2016
ID_109_4980	1	72531233	-0.0398
ID_110_4095	1	73652567	-0.2096
ID_111_4458	1	74786383	-0.1203
ID_112_4712	1	75534788	-0.0626
ID_113_4085	1	76594810	0.0028
ID_114_1017	1	77732550	-0.2929
ID_115_4357	1	79007281	-0.2462
ID_116_4851	1	80063251	-0.1019
ID_117_4664	1	81261224	-0.1269
ID_118_4242	1	82081956	0.0085
ID_119_594	1	83090413	-0.0655
ID_120_4037	1	84239194	-0.1282
ID_121_253	1	85494430	-0.1092
ID_122_1554	1	85788233	-0.0853
ID_123_1196	1	86314668	-0.0411
ID_124_2286	1	86698583	-0.0784
ID_125_1537	1	87610390	-0.0322
ID_126_2184	1	87664747	-0.0532
ID_127_952	1	88979820	-0.1361
ID_128_4068	1	90250819	0.0082
ID_129_5028	1	91626751	0.0531
ID_130_172	1	92706376	-0.0015
ID_131_2462	1	92879282	0.0022
ID_132_2416	1	93010794	-0.0181
ID_133_1299	1	93342359	0.0461
ID_134_4746	1	94697686	-0.0086
ID_135_4910	1	95750549	0.0631
ID_136_4321	1	96763244	-0.0541
ID_137_981	1	97727438	-0.0223
ID_138_4382	1	99178718	0.0251
ID_139_848	1	100261446	-0.0480
ID_140_2744	1	101065321	-0.1812
ID_141_360	1	101300638	-0.0530
ID_142_4947	1	102790784	-0.0341
ID_143_856	1	103976920	-0.6400
ID_144_4656	1	105302059	0.1630
ID_145_4149	1	106406566	-0.0036
ID_146_4074	1	107738842	-0.0131
ID_147_4679	1	108932359	0.0249
ID_148_1525	1	109989853	-0.0116
ID_149_413	1	110307311	-0.0128
ID_150_1117	1	110830478	-0.0999
ID_151_1595	1	111246437	-0.0448
ID_152_1322	1	111714942	-0.0550
ID_153_2428	1	112001306	0.0107
ID_154_2405	1	112102483	0.0200
ID_155_697	1	112879042	-0.0395
ID_156_2134	1	113018746	0.1269
ID_157_2176	1	113058966	0.0210
ID_158_1028	1	114304008	0.0508
ID_159_196	1	114588576	-0.0235
ID_160_2986	1	114772587	-0.0161
ID_161_5272	1	114917219	-0.0490
ID_162_2089	1	115010480	0.0140
ID_163_2109	1	115053840	0.0303
ID_164_2707	1	116149159	0.0163
ID_165_2119	1	116211722	-0.0022
ID_166_1541	1	117095601	-0.0361
ID_167_5078	1	118538000	0.0045
ID_168_880	1	120017068	0.0137
ID_169_2375	1	120302205	-0.0029
ID_170_2374	1	120437606	0.0484
ID_171_401	1	144134888	0.1141
ID_172_5348	1	144417059	0.2616
ID_173_2881	1	145408382	0.1935
ID_174_2683	1	145497120	0.2253
ID_175_1021	1	145781792	0.1100
ID_176_1319	1	145903702	0.0757
ID_177_4762	1	146634008	0.0930
ID_178_6	1	149081465	0.1985
ID_179_3009	1	149438847	0.2275
ID_180_2052	1	149526499	0.3415
ID_181_4961	1	150930741	0.1896
ID_182_2693	1	151926626	0.1475
ID_183_2522	1	152427153	0.1802
ID_184_2146	1	153203113	0.3244
ID_186_4781	1	153795602	0.1829
ID_187_2057	1	153948235	0.3799
ID_188_2778	1	154001332	0.3315
ID_189_1082	1	154422400	0.2122
ID_190_662	1	155033130	0.2312
ID_191_2473	1	155096506	0.3374
ID_192_2168	1	155135936	0.3820
ID_193_2162	1	155144789	0.4151
ID_194_2431	1	155367203	0.3276
ID_195_2717	1	155801537	0.3735
ID_196_725	1	157319682	0.3113
ID_197_1412	1	158253188	0.4402
ID_198_2122	1	158503497	0.3684
ID_199_780	1	158952006	0.2980
ID_200_2316	1	159884878	0.2880
ID_201_1147	1	161173726	0.3302
ID_202_504	1	162999381	0.4065
ID_203_2471	1	163688474	0.3690
ID_204_1398	1	164888993	0.2876
ID_205_4904	1	166337708	0.4220
ID_206_4487	1	167452205	0.3842
ID_207_2444	1	168867299	0.2773
ID_208_1071	1	169025320	0.2439
ID_209_1002	1	171078397	0.1558
ID_210_1313	1	172190803	0.1845
ID_211_4720	1	173418687	0.2105
ID_212_4170	1	174347227	0.0839
ID_213_406	1	174318152	0.1859
ID_214_1038	1	175326126	0.2444
ID_215_2320	1	177360687	0.3554
ID_216_5043	1	178483005	-0.3764
ID_217_4532	1	180533364	0.1350
ID_218_2544	1	181351615	0.2390
ID_219_1344	1	182348447	0.2190
ID_220_4534	1	183569704	0.2379
ID_221_347	1	184664834	0.0995
ID_222_1048	1	186100668	0.1511
ID_223_4425	1	187545018	0.1721
ID_224_4985	1	188609276	0.1675
ID_225_4977	1	189424499	0.0390
ID_226_862	1	190702910	0.2493
ID_227_2131	1	191012843	0.3129
ID_228_2417	1	191015906	0.2501
ID_229_4547	1	191993707	0.1259
ID_230_4997	1	193336782	0.1628
ID_231_4722	1	194318919	0.1592
ID_232_4960	1	195418953	0.1111
ID_233_4277	1	196333968	0.2371
ID_234_4482	1	197555049	0.1756
ID_235_4607	1	198476766	0.2390
ID_236_200	1	199589462	0.1200
ID_237_2350	1	200230993	0.0712
ID_238_2511	1	201031499	-0.0426
ID_239_2361	1	201060553	0.1478
ID_240_1077	1	201120092	0.1497
ID_241_1032	1	201253969	0.1369
ID_242_2715	1	201562738	0.1357
ID_243_2468	1	202778808	0.2554
ID_244_2520	1	202811174	0.2295
ID_245_2893	1	203086031	0.3293
ID_246_2271	1	203369891	0.3727
ID_247_2358	1	203975923	0.2159
ID_248_4752	1	205166971	0.1024
ID_249_4483	1	206507026	0.0840
ID_250_1197	1	207872031	0.0532
ID_251_1078	1	209859934	0.1404
ID_252_4316	1	211205093	0.1080
ID_253_4819	1	213229057	0.1583
ID_254_4654	1	214196091	0.1786
ID_255_4201	1	215617920	0.1074
ID_256_1371	1	216583835	0.1593
ID_257_5041	1	217788529	0.1597
ID_258_4686	1	218800012	0.1174
ID_259_4527	1	219976408	0.2224
ID_260_4555	1	221074027	0.1732
ID_261_917	1	222059068	0.0842
ID_262_1365	1	222989238	0.2044
ID_263_446	1	223669037	0.1198
ID_264_933	1	224984765	0.0630
ID_265_4858	1	226579138	0.2565
ID_266_417	1	227764138	0.0285
ID_267_1290	1	229789933	-0.0225
ID_268_5630	1	230742965	-0.3323
ID_269_378	1	230777775	-0.0422
ID_270_4710	1	232337576	0.0368
ID_271_4138	1	233446214	-0.0153
ID_272_4804	1	234560111	0.0354
ID_273_132	1	234747401	-0.0650
ID_274_1157	1	235130919	0.0327
ID_275_1594	1	235858664	0.0296
ID_276_4754	1	237259802	0.1335
ID_277_4069	1	238298494	0.0705
ID_278_4207	1	239475197	-0.0227
ID_279_15	1	239607586	-0.0301
ID_280_902	1	239792308	0.1558
ID_281_2410	1	239928300	0.0342
ID_282_540	1	241670373	0.1277
ID_283_437	1	242257070	0.1245
ID_284_303	1	243867405	-0.0725
ID_285_4684	1	244953972	0.0511
ID_286_4140	1	246030241	-0.0365
ID_287_5721	1	246309457	-0.0277
ID_288_5870	1	246405976	-0.0369
ID_289_5852	1	246499124	0.0430
ID_290_5559	1	246580457	0.0354
ID_291_5826	1	246627732	0.0886
ID_292_5584	1	246753716	0.0141
ID_293_5615	1	246846479	-0.1051
ID_294_5212	1	246927000	0.0298
ID_295_5806	1	247081904	0.0298
ID_296_2197	1	247086071	0.1543
ID_297_2553	2	60038	-0.1120
ID_298_3003	2	100907	-0.1046
ID_299_5742	2	152749	-0.0834
ID_300_5614	2	247175	-0.0681
ID_301_5678	2	315376	-0.0506
ID_302_5547	2	360722	0.0592
ID_303_5739	2	446466	-0.0446
ID_304_5654	2	549821	-0.0868
ID_305_5574	2	601320	-0.0824
ID_306_5518	2	718153	-0.1893
ID_307_5803	2	833681	-0.1060
ID_308_5586	2	883868	-0.0676
ID_309_5606	2	965603	-0.1341
ID_310_2885	2	1443913	-0.0988
ID_311_2069	2	1508779	0.2912
ID_312_2097	2	1719968	0.0121
ID_313_1303	2	2472961	-0.0234
ID_314_52	2	2556089	-0.2072
ID_315_284	2	2565903	-0.1302
ID_316_4737	2	3417986	0.2166
ID_317_4767	2	4467144	0.0537
ID_318_894	2	5908308	0.1155
ID_319_5005	2	7328774	0.0151
ID_320_2482	2	10197350	0.0542
ID_321_1347	2	10264967	0.0507
ID_322_89	2	10508537	0.0201
ID_323_249	2	10513623	0.1507
ID_324_1447	2	12149313	0.0208
ID_325_4759	2	13619119	0.0449
ID_326_317	2	15095081	0.0128
ID_327_2906	2	15621239	0.0857
ID_328_2481	2	16001703	0.0280
ID_329_1355	2	16472410	0.2240
ID_330_2204	2	17945115	0.2179
ID_331_2818	2	17972062	0.2010
ID_332_741	2	19229041	0.1671
ID_333_2006	2	20247920	0.3598
ID_334_2992	2	20293896	0.2997
ID_335_1357	2	20366600	0.2687
ID_336_4647	2	21855253	0.1024
ID_337_976	2	23072525	0.0825
ID_338_480	2	24133443	0.0677
ID_339_2437	2	25393620	0.2460
ID_340_1516	2	26172166	0.1019
ID_341_1397	2	28073772	0.1032
ID_342_2111	2	28454280	0.2416
ID_343_1165	2	29317528	0.1227
ID_344_786	2	29744884	0.0521
ID_345_443	2	31394291	0.1292
ID_346_1385	2	31472061	0.1210
ID_347_4956	2	32556517	0.2252
ID_348_4797	2	33641347	0.1371
ID_349_4938	2	34715913	0.0441
ID_350_1115	2	35819816	-0.0129
ID_351_532	2	35998448	0.0776
ID_352_2712	2	37215349	-0.0306
ID_353_4006	2	38549194	-0.0310
ID_354_4940	2	39353020	0.0082
ID_355_474	2	40417093	0.0186
ID_356_4340	2	41696435	-0.1343
ID_357_4112	2	42982153	-0.1026
ID_358_4143	2	43967329	-0.0738
ID_359_1512	2	45035818	0.1046
ID_360_465	2	46075340	-0.0506
ID_361_1261	2	46075341	-0.0204
ID_362_169	2	47514234	-0.0273
ID_363_5350	2	47556230	0.1012
ID_364_1202	2	47803179	-0.1040
ID_365_380	2	47849311	-0.0089
ID_366_4832	2	49207949	-0.0718
ID_367_4673	2	50321761	0.0343
ID_368_4503	2	50340086	-0.0409
ID_369_4520	2	51597261	0.0006
ID_370_919	2	52830629	-0.0855
ID_371_4368	2	54040603	-0.0090
ID_372_1547	2	54499164	-0.0629
ID_373_1545	2	55196187	0.1127
ID_374_1247	2	56580486	0.0294
ID_375_4285	2	57899671	0.0553
ID_376_4574	2	58739393	0.1495
ID_377_4556	2	59967709	-0.0252
ID_378_2094	2	60928003	0.0380
ID_379_2181	2	60946378	0.0863
ID_380_2961	2	60957490	0.0669
ID_381_395	2	60985516	0.1368
ID_382_4981	2	62290477	0.2907
ID_383_4990	2	63191228	0.1506
ID_384_4877	2	64227784	0.1522
ID_385_1279	2	64338865	0.1752
ID_386_644	2	65225270	-0.0102
ID_387_842	2	65800877	0.1102
ID_388_32	2	66558892	0.1311
ID_389_1240	2	67828682	0.1006
ID_390_5007	2	68899317	0.2357
ID_391_2950	2	69970344	0.1744
ID_392_23	2	70477630	0.0750
ID_393_476	2	71819041	0.1740
ID_394_1065	2	72734019	0.1563
ID_395_1342	2	73267803	-0.0829
ID_396_2294	2	74579733	-0.0302
ID_397_2826	2	74579786	0.0283
ID_398_1125	2	76466671	-0.0656
ID_399_4592	2	77832158	0.0239
ID_400_5288	2	79196396	0.0077
ID_402_470	2	79629740	-0.0253
ID_403_4837	2	81349722	-0.0407
ID_404_228	2	82603782	0.1682
ID_405_408	2	84178009	-0.0446
ID_406_585	2	84846105	0.0912
ID_407_5037	2	86116233	0.0713
ID_408_4546	2	86744907	0.0449
ID_409_4502	2	88261948	-0.0507
ID_410_4982	2	88981984	-0.0779
ID_411_5215	2	89079345	-0.0115
ID_412_2348	2	94978194	0.0438
ID_413_2354	2	95503402	-0.1664
ID_414_2955	2	96325472	0.0024
ID_415_390	2	96672761	0.0031
ID_416_4109	2	98863818	-0.0064
ID_417_328	2	99851370	-0.0688
ID_418_1152	2	101748499	-0.0451
ID_419_857	2	102671347	0.0072
ID_420_4265	2	104278690	0.0173
ID_421_2782	2	105323511	-0.0111
ID_422_2595	2	105320903	0.0165
ID_423_215	2	105972386	-0.0373
ID_424_1053	2	106881544	-0.0066
ID_425_852	2	108111051	-0.0246
ID_426_4353	2	109390567	0.0226
ID_427_4237	2	109413903	0.0817
ID_428_5172	2	109723345	-0.0193
ID_429_3004	2	110970825	-0.0321
ID_430_4676	2	112466561	0.1350
ID_431_1062	2	113645881	-0.0078
ID_432_2761	2	113664266	0.0126
ID_433_4827	2	114901922	0.0504
ID_434_1358	2	115909898	0.0731
ID_435_4846	2	117250385	-0.0002
ID_436_4942	2	118198707	0.0378
ID_437_1126	2	119245072	0.0030
ID_438_2570	2	121229714	0.0171
ID_439_2036	2	121517149	0.3973
ID_440_2792	2	122186401	-0.0101
ID_441_2726	2	122272697	-0.0381
ID_442_5275	2	123677916	-0.0477
ID_443_4705	2	125215559	0.0157
ID_444_4946	2	126283347	0.0598
ID_445_2303	2	127590145	0.1858
ID_446_2274	2	127666737	0.1281
ID_447_2858	2	127716603	0.0167
ID_448_213	2	127876885	0.0463
ID_449_676	2	128715629	0.0465
ID_450_160	2	128949269	0.0409
ID_451_977	2	130470831	-0.0961
ID_452_2745	2	131544882	-0.0575
ID_453_715	2	132942632	-0.0216
ID_454_906	2	133872363	-0.0304
ID_455_333	2	134617844	-0.1096
ID_456_5326	2	134753525	-0.0569
ID_457_5369	2	134878732	-0.0099
ID_458_5311	2	136660548	-0.1025
ID_459_635	2	136686089	-0.0665
ID_460_1260	2	138022693	0.0186
ID_461_4557	2	139633470	-0.0636
ID_462_263	2	140956668	-0.0537
ID_463_872	2	142445126	0.0185
ID_464_4928	2	143705407	0.1521
ID_465_5066	2	144787197	0.0306
ID_466_806	2	145985828	0.0016
ID_467_964	2	146460721	-0.0546
ID_468_1414	2	148129479	-0.1159
ID_469_4333	2	149567948	0.0426
ID_470_4657	2	150693996	0.0054
ID_471_4359	2	152107303	0.0110
ID_472_9	2	153138535	0.0093
ID_473_1029	2	154170400	0.0178
ID_474_4586	2	155363331	0.0295
ID_475_4180	2	157849873	0.0243
ID_476_5560	2	157849863	0.0159
ID_477_4238	2	159158090	0.0762
ID_478_1255	2	160124509	-0.0186
ID_479_5373	2	161926565	0.0172
ID_480_4455	2	163153936	0.0110
ID_481_1075	2	165330270	0.0021
ID_482_4962	2	166685493	0.0403
ID_483_4812	2	167564093	0.0294
ID_484_4642	2	169717541	0.0635
ID_485_4061	2	170712745	0.0741
ID_486_5015	2	171872355	-0.0243
ID_487_5609	2	173915039	0.0350
ID_488_4015	2	173989372	0.0540
ID_489_834	2	174981539	-0.0360
ID_490_4865	2	177352988	0.0145
ID_491_4510	2	178606123	-0.0248
ID_492_829	2	179633634	0.0045
ID_493_4142	2	180969676	0.0093
ID_494_4144	2	180969666	0.1823
ID_495_5018	2	182115754	-0.0045
ID_496_4098	2	183238279	-0.0190
ID_497_1321	2	184489580	-0.0353
ID_498_4949	2	185752965	0.0709
ID_499_4254	2	186771163	0.0925
ID_500_5031	2	187545450	-0.0582
ID_501_5042	2	188711477	-0.0586
ID_502_1579	2	189661990	0.0356
ID_503_1143	2	190089263	-0.0520
ID_504_2545	2	191563600	-0.0511
ID_505_1550	2	191778128	-0.0377
ID_506_4448	2	193278600	0.0541
ID_507_4633	2	194484895	0.0485
ID_508_1219	2	195657106	-0.1064
ID_509_4345	2	196809615	-0.0109
ID_510_1030	2	197885896	-0.0963
ID_511_5013	2	199294049	0.1474
ID_512_4692	2	200525049	0.0649
ID_513_2989	2	201804800	-0.0114
ID_514_240	2	201969387	0.0898
ID_515_2409	2	202679272	0.0188
ID_516_2807	2	202825285	0.0083
ID_517_5684	2	203055984	-0.0839
ID_518_1367	2	203732450	0.0072
ID_519_4641	2	205082860	0.1123
ID_520_825	2	206174889	-0.0243
ID_521_375	2	206855199	-0.0241
ID_522_339	2	207082172	-0.0275
ID_523_281	2	208090561	-0.0448
ID_524_1569	2	208114608	0.0980
ID_525_4876	2	209350699	0.0146
ID_526_1526	2	210274744	-0.2013
ID_527_1528	2	210791637	-0.0752
ID_528_1530	2	210834151	-0.0022
ID_529_1606	2	211024351	0.0426
ID_530_4362	2	212281111	-0.0418
ID_531_5057	2	213370884	-0.0239
ID_532_4783	2	214290954	0.0532
ID_533_593	2	215329142	-0.0363
ID_534_5349	2	215914952	0.0405
ID_535_5284	2	215997724	0.1420
ID_536_2126	2	216720638	0.0960
ID_537_2921	2	218873356	0.0462
ID_538_2843	2	218862592	0.0382
ID_539_1534	2	219469001	-0.0305
ID_540_712	2	220174575	-0.0986
ID_541_1382	2	221160013	-0.1357
ID_542_2116	2	222885419	0.0480
ID_543_2159	2	222918272	-0.0122
ID_544_369	2	223444481	-0.1373
ID_545_4055	2	224576318	-0.0957
ID_546_885	2	225563822	0.0273
ID_547_4451	2	226918007	-0.2050
ID_548_4025	2	227862180	-0.0207
ID_549_81	2	229937782	-0.0290
ID_550_1129	2	230908628	-0.0116
ID_551_1587	2	232998956	0.0700
ID_552_248	2	233226837	0.0086
ID_553_1360	2	233487153	0.0740
ID_554_237	2	235341400	-0.0052
ID_555_907	2	236271603	0.0481
ID_556_2013	2	236699315	0.0648
ID_557_45	2	237213829	0.0933
ID_558_1216	2	238109352	-0.0038
ID_559_2539	2	239829148	0.0925
ID_560_2393	2	239878076	0.0344
ID_561_2214	2	240559240	0.1725
ID_562_2791	2	240632339	-0.0002
ID_563_4845	2	241826284	0.1455
ID_564_5590	2	242003478	0.1121
ID_565_5855	2	242107423	0.0875
ID_566_5676	2	242196292	0.1497
ID_567_5549	2	242285183	0.0559
ID_568_5545	2	242375421	0.1191
ID_569_5674	2	242599238	0.0718
ID_570_5839	3	94729	0.0333
ID_571_2246	3	183127	0.1309
ID_572_5677	3	260492	-0.0320
ID_573_2060	3	231326	-0.0209
ID_574_153	3	307547	-0.0155
ID_575_5682	3	409145	-0.0707
ID_576_5774	3	516836	0.0286
ID_577_5567	3	817366	0.0298
ID_578_5701	3	864542	0.0300
ID_579_5238	3	874917	0.0557
ID_580_5775	3	948733	0.0465
ID_581_5713	3	974638	0.0157
ID_582_1407	3	1429464	-0.0173
ID_583_1060	3	3336874	-0.0056
ID_584_4541	3	4687032	0.0229
ID_585_4755	3	5534377	-0.0561
ID_586_4373	3	6860640	-0.0527
ID_587_163	3	7771335	-0.1062
ID_588_494	3	8561678	-0.0484
ID_589_1368	3	8970719	0.0558
ID_590_749	3	9621622	-0.1001
ID_591_2219	3	9648957	0.0492
ID_592_2120	3	9705583	0.2440
ID_593_2563	3	10067009	-0.0278
ID_594_2998	3	10145339	-0.0722
ID_595_2613	3	10169606	-0.0071
ID_596_2385	3	11717616	-0.0268
ID_597_2740	3	12174138	-0.0062
ID_598_528	3	12407164	-0.0462
ID_599_2562	3	14205748	-0.0808
ID_600_2727	3	14217035	-0.0426
ID_601_1253	3	14420847	0.0017
ID_602_2141	3	15118539	-0.0091
ID_603_2963	3	15146687	0.0366
ID_604_1059	3	16442255	-0.0903
ID_605_4079	3	17597779	0.1055
ID_606_4453	3	18814024	-0.0402
ID_607_4339	3	19744556	0.0388
ID_608_4120	3	20850658	-0.0017
ID_609_4229	3	21908484	-0.0569
ID_610_4687	3	22860255	-0.0169
ID_611_503	3	23781455	-0.0318
ID_612_36	3	25448454	0.1054
ID_613_2268	3	25657613	0.0621
ID_614_4929	3	27008739	-0.0008
ID_615_1431	3	27945536	-0.0232
ID_616_959	3	29661633	-0.1023
ID_617_4270	3	31063074	0.0672
ID_618_5224	3	32286764	-0.0113
ID_619_4978	3	33484100	0.0512
ID_620_5006	3	34636246	0.0095
ID_621_1268	3	35689581	0.0463
ID_622_1384	3	36880695	-0.0307
ID_623_3024	3	36966835	-0.0162
ID_624_2128	3	37034347	-0.0990
ID_625_1080	3	37560705	-0.0097
ID_626_2486	3	37741079	-0.0861
ID_627_2640	3	38132377	0.0563
ID_628_633	3	39480132	0.0245
ID_629_808	3	41108563	-0.1251
ID_630_2787	3	41286189	0.0627
ID_631_2105	3	42169452	0.0035
ID_632_2967	3	42291784	-0.1361
ID_633_2900	3	42624040	-0.0234
ID_634_3017	3	42659836	0.0353
ID_635_950	3	44089184	-0.1734
ID_636_5340	3	44910352	-0.1309
ID_637_704	3	45002539	-0.1992
ID_638_1166	3	45220644	-0.1985
ID_639_640	3	45657037	-0.1285
ID_640_3013	3	46589868	-0.1056
ID_641_2586	3	46622296	-0.0296
ID_642_4334	3	48149621	-0.1466
ID_643_2322	3	49228721	0.0170
ID_644_2337	3	49576754	-0.0429
ID_645_2352	3	49627393	-0.1064
ID_646_2384	3	49826989	-0.0538
ID_647_2187	3	49935482	-0.0763
ID_648_2263	3	50318588	0.2019
ID_649_671	3	50342974	-0.1246
ID_650_713	3	50343141	-0.0883
ID_651_261	3	51290078	-0.1812
ID_652_717	3	51466687	-0.0526
ID_653_632A	3	51960999	-0.0027
ID_654_748	3	52429313	-0.1690
ID_655_275	3	54647857	-0.0970
ID_656_647	3	55483222	-0.0640
ID_657_376	3	55859189	-0.2173
ID_658_1354	3	56890812	-0.1993
ID_659_3041	3	57277123	-0.1105
ID_660_733	3	57342374	-0.0054
ID_661_4262	3	58629345	-0.0157
ID_662_860	3	59613629	-0.1989
ID_663_341	3	60556599	-0.1637
ID_664_2757	3	60602562	-0.0887
ID_665_2825	3	60674239	-0.1494
ID_666_2781	3	61160495	-0.1363
ID_667_18	3	61893207	0.0302
ID_668_2392	3	62259391	-0.0895
ID_669_1005	3	63348965	-0.2604
ID_670_348	3	64349426	-0.1910
ID_671_1333	3	65908404	-0.1668
ID_672_4898	3	67454678	-0.1311
ID_673_869	3	68803236	-0.2012
ID_674_4842	3	70388158	-0.0606
ID_675_900	3	71899197	-0.1550
ID_676_549	3	72972665	0.0738
ID_677_4135	3	74215964	-0.0857
ID_678_4309	3	75012064	-0.1848
ID_679_4660	3	76257000	-0.0185
ID_680_4290	3	77187689	-0.0523
ID_681_4794	3	78136644	-0.1056
ID_682_909	3	79280148	0.0552
ID_683_4988	3	80330305	-0.0181
ID_684_4745	3	81443726	-0.2383
ID_685_5240	3	81565765	-0.0847
ID_686_4715	3	82649927	-0.1610
ID_687_4558	3	83579699	-0.0294
ID_688_4434	3	84698093	-0.0898
ID_689_4991	3	85514559	-0.0137
ID_690_881	3	86556326	-0.1618
ID_691_1419	3	87238575	-0.1666
ID_692_2838	3	87501258	0.0347
ID_693_2752	3	88363280	-0.0509
ID_694_2894	3	89382277	-0.2435
ID_695_2943	3	89653737	-0.1157
ID_696_4862	3	95110840	0.0232
ID_697_4905	3	95206821	0.1747
ID_698_4570	3	95797919	-0.0322
ID_699_4033	3	96812601	-0.0638
ID_700_4689	3	97721859	0.0051
ID_701_4346	3	98916171	-0.0021
ID_702_1217	3	99772525	-0.0477
ID_703_4511	3	101107911	-0.1270
ID_704_488	3	101926543	-0.0308
ID_705_999	3	102594051	-0.0605
ID_706_4773	3	103667747	-0.0405
ID_707_4925	3	104744393	-0.0723
ID_708_4700	3	105970875	-0.0705
ID_709_992	3	106892092	-0.1897
ID_710_2082	3	108086192	-0.0452
ID_711_2359	3	109259452	-0.1049
ID_712_490	3	109278024	-0.1151
ID_713_4127	3	110501095	-0.0799
ID_714_4315	3	111758893	-0.0664
ID_715_4901	3	112909383	-0.1155
ID_716_2432	3	114103590	-0.0391
ID_717_2357	3	114173171	-0.0226
ID_718_66	3	114377313	-0.0079
ID_719_1016	3	114655498	-0.1806
ID_720_837	3	114879627	-0.1300
ID_721_4281	3	116124150	-0.0300
ID_722_4682	3	117130565	-0.1417
ID_723_4844	3	118311809	-0.0609
ID_724_4474	3	119275622	-0.0928
ID_725_4691	3	120382732	-0.0629
ID_726_4921	3	121391991	-0.1090
ID_727_1102	3	122405525	-0.0204
